Alpha,ROI10,ROI17
0.027726924,0.459155887,1.955049515
0.024855717,0.57573843,2.915202379
0.02837721,-1.238697648,-2.097259521
0.02928472,-0.840350747,-0.041133508
0.02234564,-0.668065071,0.231473237
0.021943091,-0.294414908,0.171076849
0.025968594,-0.882164598,-2.911611319
0.025455018,-1.615749717,-0.785685599
0.025149945,0.833905399,0.987678349
0.024354348,-0.177508205,-2.629733324
0.026812273,-1.161688566,0.505514205
0.019547619,-0.276361167,0.537901998
0.028029051,-0.714887977,1.163448811
0.012147381,0.940487266,3.719524384
0.025819066,4.221576691,5.316972256
0.02004688,2.332830191,1.526532054
0.021057718,0.104904652,-3.637523651
0.027391732,0.393299907,-2.433269501
0.027805907,-2.512742519,-2.549860477
0.029998244,0.530465424,0.504633904
0.022201058,-0.511273146,-0.526026487
0.022309353,-0.914031029,2.053421497
0.027409676,0.282799095,-4.277714729
0.022319742,-2.615964413,-5.351748943
0.017408062,0.209883213,4.391236305
0.025377968,2.09601903,4.270805836
0.031277412,1.049003839,-2.844242811
0.026710525,-0.119291268,1.516493797
0.028071356,0.812794089,-3.193934679
0.018539407,2.92262435,0.511220992
0.019631917,0.240149945,0.098410182
0.027507147,-1.751032472,-3.251986504
0.027639505,-0.151692793,0.150192216
0.011359388,0.600716472,0.692288578
0.02719381,0.796003401,-2.138145685
0.027104407,0.097840607,-0.483445525
0.022295649,-2.409881115,-2.214143515
0.030898046,-0.143216521,-1.396754146
0.028851063,0.546687126,0.670556247
0.028186263,2.055581093,0.504531205
0.027347394,0.503279388,-0.153844178
0.02206797,-0.086730666,0.573141515
0.026891637,-0.913446605,-4.153351784
0.0222434,0.276800215,-2.104397058
0.028216297,-2.561717987,-0.541417956
0.023162234,2.089194536,-0.815608263
0.024654152,-0.973484039,-0.53549546
0.01736012,-0.416475147,2.410261154
0.02648699,-1.798099875,-5.063859463
0.026292598,0.650141895,0.28281641
0.020062209,-1.885195732,-4.37113905
0.024744262,-0.580770373,1.931278348
0.02199226,-4.236798763,-2.635371208
0.022217502,-2.729986191,0.554314494
0.023538658,-1.360336661,-0.035193942
0.024902913,-0.540209353,-5.739068031
0.027931955,-0.765112936,-1.100121856
0.026184381,1.055806279,0.960876465
0.029107285,-1.39855814,-2.263129473
0.030314077,-1.876065016,-2.193036556
0.027437038,0.609786034,-0.419585764
0.02230903,2.053798437,-1.282703519
0.020584312,1.155075908,0.289106965
0.025567618,0.206763819,-2.412345648
0.025302967,-1.493211746,-1.387312174
0.030658507,-4.795983791,-8.490489006
0.022000799,0.536016524,1.598636985
0.020890969,-1.677229881,-0.234807342
0.028134294,2.263760805,-2.639987946
0.030919503,-3.292791843,-4.016374588
0.02211692,-1.177520514,-3.009613752
0.021480548,2.885491848,-0.519115865
0.028027514,-1.704341888,-1.757561922
0.022860397,-0.428559124,-0.030976422
0.026089594,-1.113511205,0.606850266
0.028649666,-2.533228397,0.198350757
0.030525644,-0.331949264,-0.951316118
0.024628762,-1.155090451,-2.116420031
0.028031461,-2.129315138,-6.218668938
0.029953797,-3.090832949,-3.053401232
0.026999948,-1.421225071,-0.813459992
0.026594554,-0.924328208,-0.988711596
0.021895129,-0.930741668,-0.273410141
0.010513293,1.255227327,1.634992838
0.024047125,-0.9725281,-0.257513911
0.026993774,-1.416627169,-3.720837831
0.022357013,1.329346895,1.86427772
0.031745911,-2.571288109,-0.425524801
0.022495934,0.126465827,0.775890768
0.020752582,-0.761949182,-1.516617775
0.029101842,-0.542589068,-2.245087385
0.021984274,-1.19340539,-2.865135431
0.032782812,-0.017336825,-0.62757802
0.028300891,0.599926531,-1.710814834
0.02522737,-1.369303942,2.298491716
0.02714752,-1.159866929,-1.543501139
0.025353747,0.893517673,-0.402309507
0.030048227,-0.003413275,-3.123308182
0.028028684,1.392438531,1.815199971
0.027866646,2.871876478,3.602463484
0.025957218,0.587499917,-0.783248246
0.022306207,1.57295835,-1.014071584
0.028209778,-1.246927381,-0.951324284
0.032115217,-2.459776402,0.040970776
0.028385542,-0.222419456,2.806827068
0.02218,-0.898047268,0.019562175
0.022518157,0.912750125,-0.147542298
0.024885845,-3.370513916,-0.988644838
0.023653045,1.728332877,-1.474154353
0.026134648,1.545628667,3.625239849
0.024759107,0.567689896,-0.287870079
0.01458091,2.553665638,-2.197542906
0.030304905,0.654631615,1.402492881
0.024836733,3.567700148,1.948920727
0.028323877,-3.996526241,-5.700459003
0.02452056,-0.976773143,-2.023353815
0.026719443,-1.027910829,1.224207401
0.022384717,-3.416651249,-2.25825882
0.010254572,-0.128348619,0.089048281
0.016784623,1.467417479,5.404784203
0.022404357,-3.40880084,-3.085802794
0.019557495,2.884174585,-0.9709481
0.022221859,1.440834284,0.779191852
0.031406787,-0.742981791,1.969928145
0.028251299,-0.514032602,-0.940757453
0.024452523,0.714200199,-0.852105498
0.025417098,-0.534317791,0.538754582
0.020302907,0.093151301,0.085354194
0.021849604,-1.92225194,0.695031285
0.025870783,0.530674398,2.411468267
0.010060869,2.140385151,4.301473618
0.02378166,1.810956001,-0.805703163
0.024675935,-2.967887402,-0.804871261
0.02536366,1.281554103,0.706606746
0.025750661,-1.668381333,-2.791878462
0.028860066,-0.046451945,1.107578039
0.021134756,-1.200023413,-2.327511072
0.022251439,-0.293823659,-1.495016098
0.027769746,0.138877332,0.136200458
0.027864262,-1.826856852,2.181409359
0.006244779,1.219897032,4.728386879
0.005844857,0.300826967,1.818673491
0.022171212,1.218886614,1.026976347
0.024146809,2.898689032,0.712772131
0.029042756,-1.951425791,-3.196891546
0.027482224,-3.258525848,1.016070962
0.028855219,-1.22518003,-2.377237558
0.0248223,-0.537414432,-0.589611888
0.022303592,-1.152263641,-1.96668005
0.023793831,-1.357798457,0.532168806
0.023770058,-1.315046072,-1.219311237
0.023035829,2.50330019,-5.274822712
0.023340572,-0.484102488,-1.555713415
0.010177571,0.237144157,4.602403164
0.02571189,-3.29662776,-4.040585995
0.029063541,-0.488144726,-2.308018208
0.018056252,2.813127995,5.007794857
0.025345931,1.335412979,2.996747255
0.022279897,1.547453642,1.030534506
0.022981124,2.331727028,1.698259711
0.022992533,1.42633009,2.209777594
0.027437338,-0.80000937,-2.725866556
0.027830942,1.369588137,0.673430026
0.022171336,4.342671394,0.945724189
0.022362629,-0.911505997,0.501122236
0.021871486,-0.814596355,-1.174543023
0.022244418,0.462163836,-0.939297676
0.028481937,-0.855099082,-0.02276451
0.027362259,3.432452679,-0.016496303
0.028342095,2.492120743,2.733129025
0.023983548,-0.127482623,-1.309196472
0.018415204,1.41354394,3.541035414
0.027225622,-3.516167164,-3.583686352
0.025322476,0.583497345,0.417405069